,time_usec,xacc,frequency,yacc,zacc,xgyro,ygyro,zgyro,temperature
1070,374386203,48,26700.0,-53,-996,-24,-7,-1,4480
1071,374486242,48,26700.0,-53,-996,-25,-9,0,4480
1072,374586251,48,26700.0,-54,-997,-24,-6,-1,4480
1073,374686203,48,26700.0,-53,-997,-23,-10,0,4480
1074,374786245,48,26700.0,-53,-997,-23,-10,-1,4480
1075,374886185,48,26700.0,-53,-997,-25,-5,0,4480
1076,374986202,48,26700.0,-54,-997,-26,-11,0,4480
1077,375086255,47,26700.0,-53,-997,-23,-7,0,4480
1078,375186249,47,26700.0,-53,-997,-24,-9,-1,4480
1079,375286220,48,26700.0,-54,-997,-26,-7,-1,4480
1080,375386258,48,26700.0,-53,-997,-24,-9,-2,4480
1081,375486254,48,26700.0,-54,-996,-24,-9,-1,4480
1082,375586194,48,26700.0,-53,-997,-27,-11,-1,4432
1083,375686250,48,26700.0,-54,-997,-23,-9,-1,4432
1084,375786176,48,26700.0,-53,-996,-23,-7,-1,4480
1085,375886169,48,26700.0,-54,-997,-23,-9,0,4480
1086,375986203,48,26700.0,-53,-997,-24,-7,-2,4480
1087,376086255,48,26700.0,-53,-997,-23,-7,0,4480
1088,376186182,48,26700.0,-54,-997,-24,-7,-1,4480
1089,376286180,48,26700.0,-53,-996,-24,-7,-1,4480
1090,376386227,47,26700.0,-53,-997,-27,-10,0,4480
1091,376486216,48,26700.0,-53,-997,-24,-11,-1,4480
1092,376586253,48,26700.0,-53,-997,-23,-10,-1,4480
1093,376686209,48,26700.0,-53,-997,-23,-9,-1,4480
1094,376786237,48,26700.0,-54,-997,-23,-9,0,4480
1095,376886181,48,26700.0,-54,-996,-24,-10,0,4480
1096,376986214,48,26700.0,-53,-997,-25,-9,0,4480
1097,377086245,48,26700.0,-54,-996,-23,-7,-1,4480
1098,377186183,48,26700.0,-54,-997,-24,-7,0,4480
1099,377286216,48,26700.0,-53,-996,-24,-10,0,4480
1100,379386218,47,26800.0,-54,-996,-25,-9,0,4432
1101,379486271,48,26800.0,-54,-997,-24,-7,-2,4480
1102,379586185,48,26800.0,-53,-997,-25,-10,-1,4480
1103,379686182,48,26800.0,-53,-997,-22,-7,-2,4480
1104,379786261,48,26800.0,-53,-996,-24,-9,0,4480
1105,379886180,47,26800.0,-54,-996,-26,-7,0,4432
1106,379986217,48,26800.0,-53,-997,-22,-10,-2,4432
1107,380086258,48,26800.0,-54,-996,-22,-7,-2,4480
1108,380186178,48,26800.0,-54,-996,-24,-7,1,4480
1109,380286219,48,26800.0,-53,-997,-24,-9,-1,4480
1110,380386210,48,26800.0,-53,-996,-26,-7,-1,4480
1111,380486259,47,26800.0,-54,-996,-24,-11,-2,4480
1112,380586246,48,26800.0,-53,-996,-26,-6,0,4480
1113,380686188,48,26800.0,-54,-996,-24,-7,0,4480
1114,380786181,48,26800.0,-53,-996,-24,-6,-1,4480
1115,380886204,47,26800.0,-53,-996,-24,-12,1,4480
1116,380986242,48,26800.0,-53,-996,-25,-6,-1,4480
1117,381086201,48,26800.0,-54,-997,-23,-6,0,4480
1118,381186200,48,26800.0,-53,-996,-25,-7,-2,4480
1119,381286204,48,26800.0,-53,-996,-25,-7,0,4480
1120,381386255,48,26800.0,-54,-996,-24,-7,-1,4480
1121,381486257,48,26800.0,-53,-995,-25,-6,0,4480
1122,381586203,48,26800.0,-54,-996,-25,-5,-1,4480
1123,381686241,48,26800.0,-54,-995,-24,-11,0,4480
1124,381786216,48,26800.0,-54,-995,-24,-10,-1,4480
1125,381886199,48,26800.0,-53,-995,-25,-11,-1,4480
1126,381986246,48,26800.0,-54,-996,-24,-7,0,4480
1127,382086190,47,26800.0,-54,-995,-24,-9,-1,4480
1128,382186214,48,26800.0,-53,-995,-23,-7,0,4480
1129,382286249,48,26800.0,-54,-996,-25,-6,0,4480
1130,382386178,48,26800.0,-53,-995,-24,-9,0,4480
1131,382486203,48,26800.0,-54,-995,-23,-7,0,4480
1132,382586241,48,26800.0,-54,-996,-22,-5,-1,4480
1133,382686249,48,26800.0,-53,-996,-23,-4,-1,4480
1134,382786208,48,26800.0,-53,-996,-25,-9,-3,4480
1135,382886248,48,26800.0,-53,-995,-25,-10,-2,4480
1136,382986183,48,26800.0,-54,-996,-25,-10,0,4480
1137,383086199,48,26800.0,-53,-996,-25,-6,-2,4480
1138,383186240,48,26800.0,-54,-996,-22,-10,-2,4480
1139,383286232,48,26800.0,-54,-996,-25,-6,-1,4480
1140,383386207,48,26800.0,-53,-995,-21,-6,-1,4480
1141,383486243,48,26800.0,-53,-996,-23,-9,0,4480
1142,383586260,48,26800.0,-53,-996,-26,-11,-1,4480
1143,383686211,48,26800.0,-54,-995,-25,-7,-1,4480
1144,383786233,48,26800.0,-53,-995,-24,-9,-1,4480
1145,383886248,48,26800.0,-54,-996,-24,-9,0,4480
1146,383986188,48,26800.0,-53,-996,-22,-7,-2,4480
1147,384086199,48,26800.0,-54,-996,-22,-9,0,4480
1148,384186240,48,26800.0,-53,-996,-25,-9,0,4480
1149,384286243,48,26800.0,-54,-996,-21,-6,0,4480
1150,386586210,47,26900.0,-54,-996,-23,-9,0,4480
1151,386686247,47,26900.0,-53,-996,-24,-10,0,4480
1152,386786178,48,26900.0,-53,-997,-25,-4,0,4480
1153,386886198,47,26900.0,-53,-997,-26,-9,0,4480
1154,386986244,48,26900.0,-53,-997,-24,-10,-1,4480
1155,387086186,48,26900.0,-54,-996,-24,-11,0,4480
1156,387186201,48,26900.0,-54,-997,-25,-9,-1,4480
1157,387286240,48,26900.0,-53,-996,-23,-9,-1,4480
1158,387386182,48,26900.0,-53,-998,-26,-6,0,4480
1159,387486201,48,26900.0,-53,-997,-25,-9,0,4480
1160,387586241,47,26900.0,-54,-997,-25,-10,0,4480
1161,387686195,48,26900.0,-53,-997,-23,-6,-1,4528
1162,387786209,48,26900.0,-54,-998,-24,-6,0,4480
1163,387886227,48,26900.0,-53,-997,-27,-11,0,4528
1164,387986189,48,26900.0,-54,-998,-24,-9,0,4480
1165,388086218,48,26900.0,-53,-998,-25,-6,0,4480
1166,388186246,48,26900.0,-54,-998,-24,-9,-2,4480
1167,388286187,48,26900.0,-54,-998,-23,-9,0,4480
1168,388386242,48,26900.0,-53,-997,-23,-9,-1,4480
1169,388486186,47,26900.0,-53,-997,-24,-7,0,4480
1170,388586178,48,26900.0,-53,-997,-23,-9,-1,4480
1171,388686218,48,26900.0,-54,-997,-27,-10,-1,4480
1172,388786246,48,26900.0,-53,-998,-24,-5,0,4480
1173,388886184,48,26900.0,-53,-997,-22,-9,-2,4480
1174,388986218,48,26900.0,-54,-997,-23,-6,0,4480
1175,389086239,48,26900.0,-53,-997,-25,-9,0,4480
1176,389186268,48,26900.0,-53,-997,-24,-10,-1,4480
1177,389286181,48,26900.0,-53,-997,-25,-10,-2,4480
1178,389386234,48,26900.0,-53,-997,-23,-6,0,4480
1179,389486248,48,26900.0,-54,-997,-24,-6,0,4480
1180,389586246,48,26900.0,-53,-997,-26,-5,-2,4480
1181,389686183,48,26900.0,-53,-998,-21,-7,-1,4480
1182,389786200,47,26900.0,-53,-997,-25,-7,0,4480
1183,389886266,48,26900.0,-53,-997,-23,-7,0,4480
1184,389986208,48,26900.0,-54,-997,-24,-5,-2,4480
1185,390086187,48,26900.0,-53,-997,-22,-7,-1,4480
1186,390186211,48,26900.0,-54,-997,-26,-7,-1,4480
1187,390286238,48,26900.0,-54,-997,-23,-6,0,4480
1188,390386176,48,26900.0,-53,-998,-23,-6,-2,4480
1189,390486208,48,26900.0,-54,-997,-27,-7,-3,4480
1190,390586236,48,26900.0,-53,-996,-24,-9,-1,4480
1191,390686181,48,26900.0,-53,-997,-23,-7,-1,4480
1192,390786214,48,26900.0,-53,-997,-25,-11,0,4480
1193,390886242,48,26900.0,-53,-996,-25,-6,0,4480
1194,390986257,48,26900.0,-54,-997,-23,-9,0,4480
1195,391086175,48,26900.0,-53,-997,-26,-10,0,4480
1196,391186206,48,26900.0,-53,-997,-23,-10,0,4480
1197,391286241,48,26900.0,-53,-998,-23,-12,-1,4480
1198,391386206,48,26900.0,-53,-997,-25,-9,0,4480
1199,391486210,48,26900.0,-54,-997,-24,-10,1,4480
1200,393586209,48,27000.0,-53,-996,-25,-7,-2,4480
1201,393686209,48,27000.0,-54,-996,-24,-9,-2,4480
1202,393786236,49,27000.0,-53,-996,-23,-6,0,4480
1203,393886194,48,27000.0,-53,-996,-22,-6,-2,4480
1204,393986248,48,27000.0,-53,-996,-24,-3,-2,4480
1205,394086219,48,27000.0,-53,-996,-24,-6,-1,4480
1206,394186224,48,27000.0,-54,-997,-24,-6,0,4480
1207,394286238,48,27000.0,-53,-996,-25,-7,-1,4480
1208,394386189,48,27000.0,-54,-997,-24,-7,-1,4480
1209,394486203,47,27000.0,-53,-997,-24,-10,0,4480
1210,394586225,47,27000.0,-53,-996,-25,-6,-1,4480
1211,394686263,48,27000.0,-54,-996,-25,-10,0,4480
1212,394786244,48,27000.0,-54,-997,-22,-10,0,4480
1213,394886179,48,27000.0,-53,-997,-21,-7,-2,4480
1214,394986201,47,27000.0,-53,-997,-28,-9,-3,4480
1215,395086267,48,27000.0,-54,-997,-24,-5,0,4480
1216,395186189,48,27000.0,-53,-996,-25,-10,0,4480
1217,395286213,48,27000.0,-54,-997,-24,-10,0,4480
1218,395386209,48,27000.0,-54,-997,-25,-7,-2,4480
1219,395486246,48,27000.0,-53,-996,-24,-9,0,4480
1220,395586180,48,27000.0,-53,-997,-24,-9,-2,4480
1221,395686206,47,27000.0,-54,-996,-26,-11,-1,4480
1222,395786246,48,27000.0,-53,-997,-26,-11,-1,4480
1223,395886180,48,27000.0,-54,-997,-25,-12,0,4480
1224,395986213,48,27000.0,-54,-996,-23,-6,-1,4480
1225,396086238,48,27000.0,-53,-996,-24,-5,1,4480
1226,396186261,48,27000.0,-53,-996,-23,-7,0,4480
1227,396286202,48,27000.0,-54,-996,-23,-10,-1,4480
1228,396386248,48,27000.0,-53,-997,-23,-6,-1,4480
1229,396486183,48,27000.0,-53,-996,-24,-9,0,4480
